variant,experiment,step,weights,fid,kid,precision,recall,failures,duplicates,low_detail_warnings,sampling_seconds,images_per_second,peak_allocated_gb,peak_reserved_gb,checkpoint_sha256,grid_sha256
baseline_raw_10k,baseline,10000,raw,55.643624216338935,0.027398669719696046,0.28999999165534973,0.8019999861717224,0,0,0,13.310240000020713,15.026025075407263,2.3915529251098633,3.1484375,98b93bcdad272cd4d345752e3a00294cd113012373051ae1c41738cbe34353d0,3492700686ca0bb1f2a1ea1f3d0cf32a4d441cc24073a2c17b53b9ba3d4bc040
baseline_raw_20k,baseline,20000,raw,48.05092596107508,0.020520448684692383,0.3400000035762787,0.7540000081062317,0,0,0,11.846583500038832,16.88250456339116,2.3921632766723633,3.146484375,1eb7db8e91d7727528421d09ddd82eeb8ca37573b12652f43c2180942a93e7f7,5fcef4c8f73bbfebbca7b7b5445eddf810c085d3d37c577be103a555819193d7
repa_raw_10k,repa,10000,raw,62.305128298178545,0.0300037145614624,0.20999999344348907,0.8619999885559082,0,0,0,11.790378999896348,16.96298312393166,2.3921632766723633,3.146484375,f7ee59598f3db71fffe75159bc51582a62925c25b3650d8ec514dcaae47d4068,7dab774dce5c2bc8bdcc535fad2fb34ed48136261574720a5753a709613e030b
repa_raw_20k,repa,20000,raw,52.383658469154255,0.02530779838562012,0.3100000023841858,0.722000002861023,0,0,0,11.726775099989027,17.05498726586708,2.3921632766723633,3.146484375,53feca7f388a960e9da6fe4dcdb13511cd2fc29fd57948d181f2798ebe209333,ad270bffa668b122195d8c626ba6287d47d46ce27ac2d9357ab2774484acd47e
repa_ema_20k,repa,20000,ema,144.8340826869433,0.1074873685836792,0.029999999329447746,0.5640000104904175,0,0,0,12.449587099952623,16.064789811443713,2.8820481300354004,3.71484375,53feca7f388a960e9da6fe4dcdb13511cd2fc29fd57948d181f2798ebe209333,5bc9924ba4758a45d4ee42230652754b9c51d2509db4378a8f311b6e9e8f6099
